epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.4441,1.14084,4.27332,1.5037,0.07326,0.39526,0.10083,0.06702,1.06909,3.28933,1.43718,0.0033297,0.0033297,0.0033297
2,103.303,1.14998,3.93025,1.50303,0.65863,0.13807,0.16542,0.10849,1.2266,3.20839,1.53441,0.00665479,0.00665479,0.00665479
3,152.791,1.24443,3.6844,1.57045,0.11007,0.27744,0.19295,0.11747,1.63335,3.432,2.12432,0.00997162,0.00997162,0.00997162
4,201.801,1.29548,3.5409,1.58866,0.22786,0.31049,0.23767,0.16424,1.34598,2.64758,1.70171,0.00996287,0.00996287,0.00996287
5,251.076,1.29915,3.39906,1.56862,0.17931,0.50737,0.31158,0.21738,1.06921,2.72916,1.3964,0.0099505,0.0099505,0.0099505
6,300.232,1.30522,3.28263,1.55823,0.24677,0.42472,0.29655,0.20993,1.10997,3.38949,1.45394,0.00993813,0.00993813,0.00993813
7,349.699,1.26178,3.14708,1.51613,0.32103,0.53235,0.40939,0.29502,1.05866,3.65183,1.4051,0.00992575,0.00992575,0.00992575
8,399.249,1.23782,2.97117,1.49504,0.36478,0.56939,0.48074,0.32153,1.30728,3.09797,1.5625,0.00991338,0.00991338,0.00991338
9,448.715,1.21455,2.87393,1.47824,0.29977,0.72052,0.51298,0.36858,1.10062,3.28396,1.39678,0.009901,0.009901,0.009901
10,497.924,1.20977,2.79802,1.47774,0.59229,0.48151,0.54485,0.38468,1.24844,2.70468,1.47633,0.00988862,0.00988862,0.00988862
11,547.66,1.19538,2.70242,1.45857,0.4399,0.65223,0.56871,0.42213,1.00789,2.77478,1.32725,0.00987625,0.00987625,0.00987625
12,597.222,1.19523,2.58654,1.44175,0.41618,0.76457,0.59017,0.4388,1.05014,2.87034,1.37651,0.00986387,0.00986387,0.00986387
13,646.538,1.17414,2.51062,1.44856,0.42708,0.68156,0.5939,0.43854,1.11423,2.51067,1.38896,0.0098515,0.0098515,0.0098515
14,696.196,1.15669,2.42627,1.42838,0.47306,0.68669,0.65686,0.49907,1.00342,2.61888,1.31016,0.00983913,0.00983913,0.00983913
15,745.667,1.1394,2.33023,1.40661,0.50802,0.71656,0.69582,0.5181,0.9983,2.1699,1.3181,0.00982675,0.00982675,0.00982675
16,794.916,1.14852,2.24716,1.40239,0.53158,0.70456,0.7528,0.59634,0.89084,1.68365,1.21562,0.00981438,0.00981438,0.00981438
17,844.467,1.15214,2.20349,1.40814,0.58468,0.77905,0.7857,0.61066,0.98389,1.51373,1.31214,0.009802,0.009802,0.009802
18,893.936,1.11269,2.10632,1.36525,0.57157,0.7732,0.8034,0.61516,0.97172,1.70138,1.29803,0.00978962,0.00978962,0.00978962
19,943.329,1.08904,2.08442,1.36742,0.56436,0.77908,0.78334,0.60279,0.92886,1.68343,1.2456,0.00977725,0.00977725,0.00977725
20,992.845,1.10667,2.05005,1.38155,0.67964,0.70111,0.79773,0.61972,0.92213,1.65552,1.24774,0.00976487,0.00976487,0.00976487
21,1042.33,1.08802,1.95714,1.34822,0.65188,0.72828,0.79504,0.57319,1.12472,1.56981,1.3626,0.0097525,0.0097525,0.0097525
22,1091.45,1.09866,1.95987,1.3805,0.67708,0.79654,0.83815,0.63478,1.02784,1.26492,1.31269,0.00974013,0.00974013,0.00974013
23,1140.98,1.08253,1.89482,1.34731,0.73029,0.72563,0.83231,0.69942,0.75052,1.19584,1.131,0.00972775,0.00972775,0.00972775
24,1190.45,1.08321,1.87735,1.36106,0.67636,0.82876,0.86598,0.69787,0.85572,1.19265,1.18869,0.00971538,0.00971538,0.00971538
25,1239.93,1.07346,1.86555,1.34933,0.71773,0.77204,0.84758,0.68293,0.81877,1.29217,1.18683,0.009703,0.009703,0.009703
26,1289.55,1.05871,1.81547,1.34703,0.76399,0.75789,0.85222,0.69489,0.80757,1.07748,1.15716,0.00969063,0.00969063,0.00969063
27,1339.12,1.07662,1.78509,1.34794,0.74258,0.79476,0.86276,0.70356,0.79951,1.11451,1.17824,0.00967825,0.00967825,0.00967825
28,1388.46,1.03457,1.76784,1.33737,0.76206,0.84532,0.90008,0.75252,0.78472,0.98765,1.16744,0.00966588,0.00966588,0.00966588
29,1438.07,1.02714,1.71883,1.31396,0.77261,0.85083,0.89082,0.74453,0.76011,0.97723,1.13012,0.0096535,0.0096535,0.0096535
30,1487.55,1.03182,1.70186,1.31661,0.78657,0.82602,0.8773,0.70674,0.83512,0.95093,1.19547,0.00964113,0.00964113,0.00964113
31,1536.9,1.03049,1.62714,1.31852,0.82596,0.80662,0.89112,0.70847,0.87282,0.92851,1.20634,0.00962875,0.00962875,0.00962875
32,1586.4,1.01323,1.6353,1.30043,0.87969,0.82461,0.91313,0.77973,0.70417,0.82219,1.11726,0.00961637,0.00961637,0.00961637
33,1635.84,1.02751,1.65659,1.31998,0.82626,0.79587,0.89603,0.73078,0.82614,0.93717,1.14888,0.009604,0.009604,0.009604
34,1685.04,1.02048,1.6265,1.30966,0.81938,0.83586,0.90495,0.73674,0.81693,0.84674,1.16882,0.00959163,0.00959163,0.00959163
35,1734.64,1.00137,1.57653,1.30565,0.77052,0.89749,0.9116,0.75062,0.77558,0.85108,1.15126,0.00957925,0.00957925,0.00957925
36,1784.16,0.99534,1.54373,1.2965,0.80898,0.80845,0.89419,0.72462,0.83087,0.90756,1.19939,0.00956688,0.00956688,0.00956688
37,1833.53,0.9872,1.5356,1.2795,0.80469,0.85507,0.90713,0.76293,0.73688,0.88924,1.12086,0.0095545,0.0095545,0.0095545
38,1883.02,1.00317,1.56057,1.30276,0.8044,0.8025,0.90355,0.73458,0.83033,0.92572,1.17076,0.00954213,0.00954213,0.00954213
39,1932.36,0.97725,1.51802,1.28294,0.78177,0.85085,0.90464,0.78552,0.66076,0.8255,1.06711,0.00952975,0.00952975,0.00952975
40,1981.68,0.97432,1.50033,1.2772,0.82298,0.80278,0.88003,0.74052,0.74517,0.85296,1.11502,0.00951737,0.00951737,0.00951737
41,2031.27,0.98818,1.5259,1.29902,0.89644,0.83018,0.90338,0.7566,0.75396,0.81523,1.12676,0.009505,0.009505,0.009505
42,2080.76,0.95529,1.4758,1.27128,0.90283,0.82674,0.91278,0.75765,0.75985,0.78831,1.1165,0.00949263,0.00949263,0.00949263
43,2130.33,0.97377,1.4798,1.27591,0.88102,0.84757,0.9088,0.7413,0.82284,0.77869,1.15967,0.00948025,0.00948025,0.00948025
44,2179.87,0.95613,1.4379,1.2618,0.79725,0.90249,0.92113,0.78605,0.7074,0.82911,1.10293,0.00946788,0.00946788,0.00946788
45,2229.28,0.96198,1.47349,1.27727,0.87063,0.82007,0.89857,0.74794,0.7293,0.80429,1.09158,0.0094555,0.0094555,0.0094555
46,2278.67,0.95734,1.44386,1.27889,0.82158,0.88448,0.9299,0.80051,0.6879,0.74706,1.09185,0.00944313,0.00944313,0.00944313
47,2328.26,0.94542,1.43991,1.2714,0.80742,0.83359,0.9044,0.76996,0.69796,0.83988,1.08625,0.00943075,0.00943075,0.00943075
