epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.5528,1.22335,4.39838,1.56345,0.33685,0.1298,0.06707,0.03948,1.34192,3.36998,1.6455,0.00333022,0.00333022,0.00333022
2,136.482,1.2176,3.98369,1.5464,0.20473,0.34992,0.17802,0.1275,1.11509,3.0032,1.3994,0.00665531,0.00665531,0.00665531
3,197.673,1.28669,3.69001,1.59066,0.40238,0.40947,0.29593,0.17621,1.4848,6.20019,1.86745,0.00997214,0.00997214,0.00997214
4,258.684,1.35835,3.58424,1.62306,0.70909,0.22997,0.26116,0.15347,1.45022,3.3868,1.67773,0.00996287,0.00996287,0.00996287
5,320.58,1.36101,3.44592,1.60795,0.18823,0.50927,0.36948,0.23496,1.26166,3.27167,1.59317,0.0099505,0.0099505,0.0099505
6,384.266,1.34375,3.23946,1.57739,0.53278,0.41463,0.3794,0.25592,1.24114,4.07757,1.50364,0.00993813,0.00993813,0.00993813
7,445.675,1.30432,3.1009,1.5499,0.32856,0.57724,0.48128,0.32169,1.35263,3.59113,1.57072,0.00992575,0.00992575,0.00992575
8,507.95,1.29672,2.98078,1.54449,0.35515,0.62351,0.47428,0.29935,1.43617,3.99056,1.68031,0.00991338,0.00991338,0.00991338
9,569.582,1.2792,2.89234,1.52745,0.37281,0.63997,0.54412,0.35814,1.35462,3.80884,1.57365,0.009901,0.009901,0.009901
10,631.938,1.2655,2.76456,1.50421,0.35058,0.73782,0.6058,0.42873,1.10023,4.22851,1.38104,0.00988862,0.00988862,0.00988862
11,693.778,1.21203,2.62908,1.47531,0.45973,0.62259,0.62422,0.44784,1.1157,2.86497,1.37202,0.00987625,0.00987625,0.00987625
12,756.468,1.22246,2.52863,1.47148,0.40696,0.75409,0.6316,0.43232,1.18502,2.7231,1.4291,0.00986387,0.00986387,0.00986387
13,818.227,1.20337,2.40547,1.44697,0.43038,0.72482,0.68855,0.51081,1.04601,2.15718,1.35398,0.0098515,0.0098515,0.0098515
14,879.544,1.20779,2.31079,1.44117,0.56047,0.75209,0.73839,0.53943,1.09159,1.80568,1.37725,0.00983913,0.00983913,0.00983913
15,940.22,1.18499,2.22442,1.42365,0.57059,0.72638,0.71392,0.4988,1.16595,2.92469,1.4081,0.00982675,0.00982675,0.00982675
16,1002.98,1.18037,2.19913,1.42051,0.49455,0.83601,0.73955,0.54919,1.05129,2.26374,1.349,0.00981438,0.00981438,0.00981438
17,1068.15,1.19963,2.10197,1.42873,0.64251,0.71134,0.79329,0.60483,0.9994,1.7774,1.2972,0.009802,0.009802,0.009802
18,1132.4,1.16988,2.04699,1.40838,0.70473,0.63194,0.75358,0.54243,1.10796,1.74582,1.3701,0.00978962,0.00978962,0.00978962
19,1197.63,1.15615,1.99738,1.41368,0.6216,0.76912,0.8085,0.62263,0.99031,1.71308,1.29894,0.00977725,0.00977725,0.00977725
20,1262.91,1.13936,1.92985,1.38757,0.70311,0.71222,0.8176,0.60554,0.99895,1.81917,1.28843,0.00976487,0.00976487,0.00976487
21,1327.06,1.14503,1.91013,1.39475,0.67828,0.78374,0.82624,0.61432,1.07375,1.82567,1.32662,0.0097525,0.0097525,0.0097525
22,1391.2,1.14118,1.88565,1.39694,0.7081,0.80198,0.83917,0.63331,0.97097,1.5933,1.27276,0.00974013,0.00974013,0.00974013
23,1454.35,1.11554,1.8327,1.37646,0.73481,0.75901,0.84079,0.64319,0.96419,1.4771,1.25234,0.00972775,0.00972775,0.00972775
24,1517.57,1.11854,1.77201,1.38012,0.73769,0.82401,0.86931,0.67143,1.00564,1.39804,1.29085,0.00971538,0.00971538,0.00971538
25,1581.78,1.08888,1.73486,1.34554,0.7312,0.74402,0.83795,0.61353,1.042,1.39502,1.29241,0.009703,0.009703,0.009703
26,1646.65,1.10211,1.74753,1.35834,0.7917,0.81457,0.87363,0.69419,0.8809,1.13376,1.22695,0.00969063,0.00969063,0.00969063
27,1711.87,1.08703,1.70816,1.34384,0.80418,0.77627,0.87757,0.7134,0.8263,1.33362,1.18287,0.00967825,0.00967825,0.00967825
28,1777.3,1.08215,1.68512,1.35225,0.74796,0.78829,0.84846,0.66844,0.91527,1.44806,1.25914,0.00966588,0.00966588,0.00966588
29,1843.55,1.08698,1.67255,1.35721,0.78571,0.82919,0.89333,0.70895,0.90072,1.1944,1.22074,0.0096535,0.0096535,0.0096535
30,1908.73,1.08318,1.67218,1.35228,0.73279,0.80368,0.84799,0.65556,0.98288,1.46694,1.26156,0.00964113,0.00964113,0.00964113
31,1974.14,1.05547,1.64135,1.3279,0.80197,0.76128,0.86292,0.64969,1.0134,1.12825,1.27211,0.00962875,0.00962875,0.00962875
32,2040.46,1.05542,1.61758,1.33237,0.74821,0.85641,0.8831,0.68294,0.90803,1.14465,1.21122,0.00961637,0.00961637,0.00961637
33,2103.07,1.05616,1.59838,1.33148,0.8052,0.83268,0.90223,0.72462,0.8673,1.01903,1.18381,0.009604,0.009604,0.009604
34,2167.19,1.0601,1.60281,1.33809,0.80748,0.8304,0.89748,0.72643,0.81406,1.08912,1.17118,0.00959163,0.00959163,0.00959163
35,2228.78,1.059,1.55895,1.32979,0.8563,0.83975,0.89969,0.70719,0.90589,1.05185,1.19956,0.00957925,0.00957925,0.00957925
36,2288.23,1.04393,1.51992,1.3215,0.83194,0.82993,0.90067,0.73889,0.80025,1.0471,1.1665,0.00956688,0.00956688,0.00956688
37,2347.35,1.02928,1.49457,1.30945,0.87825,0.86147,0.91678,0.75123,0.78707,0.99296,1.15022,0.0095545,0.0095545,0.0095545
38,2406.46,1.04723,1.50393,1.3136,0.87158,0.86941,0.9253,0.72949,0.91947,0.94876,1.20895,0.00954213,0.00954213,0.00954213
39,2465.77,1.03464,1.50834,1.3188,0.84724,0.83552,0.90662,0.74088,0.83134,1.00488,1.16385,0.00952975,0.00952975,0.00952975
40,2524.89,1.02938,1.48345,1.31351,0.85,0.84552,0.90447,0.73726,0.82072,1.03256,1.13564,0.00951737,0.00951737,0.00951737
41,2584.09,1.03869,1.4702,1.30991,0.80124,0.86829,0.91729,0.76441,0.76494,0.96138,1.12822,0.009505,0.009505,0.009505
42,2643.17,1.0226,1.43123,1.30115,0.80979,0.83883,0.8848,0.7442,0.77015,1.02047,1.14242,0.00949263,0.00949263,0.00949263
43,2703.88,1.00834,1.41983,1.28904,0.85503,0.85242,0.91591,0.75397,0.80381,0.99777,1.17138,0.00948025,0.00948025,0.00948025
44,2763.92,1.00419,1.43416,1.29655,0.88005,0.87066,0.92362,0.77742,0.74046,0.84549,1.11706,0.00946788,0.00946788,0.00946788
45,2823.37,1.01412,1.40829,1.3043,0.86262,0.83125,0.91746,0.77348,0.76277,0.84994,1.14416,0.0094555,0.0094555,0.0094555
46,2882.29,1.00054,1.39706,1.2884,0.83969,0.88151,0.9223,0.77026,0.75972,0.83924,1.11829,0.00944313,0.00944313,0.00944313
47,2941.39,0.9983,1.38212,1.28614,0.84913,0.85435,0.92753,0.78406,0.72507,0.88009,1.09894,0.00943075,0.00943075,0.00943075
48,3000.38,0.99976,1.37113,1.27959,0.87326,0.85567,0.93157,0.75857,0.82526,0.83937,1.14777,0.00941837,0.00941837,0.00941837
49,3059.25,0.97281,1.35022,1.26787,0.87854,0.85529,0.92062,0.77876,0.71981,0.77303,1.10074,0.009406,0.009406,0.009406
50,3117.86,0.9852,1.33775,1.27736,0.87423,0.85382,0.9292,0.77537,0.7473,0.77542,1.10621,0.00939363,0.00939363,0.00939363
51,3176.47,0.98801,1.35838,1.28804,0.87059,0.899,0.93755,0.78795,0.73245,0.70142,1.10667,0.00938125,0.00938125,0.00938125
52,3235.34,0.9808,1.35656,1.27556,0.8686,0.87658,0.93818,0.76679,0.78107,0.73926,1.13061,0.00936888,0.00936888,0.00936888
53,3294.06,0.96353,1.33004,1.26251,0.87658,0.84059,0.92933,0.77362,0.75411,0.74496,1.10796,0.0093565,0.0093565,0.0093565
54,3353.34,0.95235,1.297,1.25904,0.86263,0.86085,0.92999,0.7838,0.73679,0.75907,1.10691,0.00934413,0.00934413,0.00934413
55,3412.14,0.97343,1.3406,1.27234,0.88694,0.85641,0.92483,0.75553,0.78596,0.81317,1.1337,0.00933175,0.00933175,0.00933175
56,3471.1,0.96043,1.32355,1.26178,0.85855,0.86586,0.92795,0.79653,0.71921,0.89204,1.08686,0.00931937,0.00931937,0.00931937
57,3529.91,0.94116,1.23815,1.24575,0.86912,0.85878,0.92901,0.7823,0.73211,0.75584,1.08422,0.009307,0.009307,0.009307
58,3588.8,0.95475,1.27704,1.25858,0.87155,0.92424,0.94577,0.8073,0.71564,0.67857,1.07838,0.00929462,0.00929462,0.00929462
59,3647.7,0.9509,1.2685,1.26558,0.86192,0.87251,0.93523,0.79817,0.71644,0.74665,1.07544,0.00928225,0.00928225,0.00928225
60,3706.5,0.9403,1.26517,1.25108,0.9061,0.88055,0.93878,0.80626,0.70474,0.68135,1.08073,0.00926988,0.00926988,0.00926988
61,3765.3,0.94106,1.25681,1.25049,0.88984,0.88019,0.925,0.79516,0.68246,0.71971,1.06027,0.0092575,0.0092575,0.0092575
62,3824.07,0.94451,1.2346,1.24962,0.89288,0.85941,0.91819,0.78827,0.67873,0.74255,1.05564,0.00924512,0.00924512,0.00924512
63,3882.89,0.93214,1.23629,1.2447,0.90504,0.89543,0.94377,0.80987,0.68743,0.70491,1.05858,0.00923275,0.00923275,0.00923275
64,3941.91,0.93109,1.21452,1.23703,0.90814,0.88082,0.94141,0.807,0.71061,0.76162,1.08513,0.00922038,0.00922038,0.00922038
65,4000.56,0.925,1.25269,1.23581,0.90226,0.85389,0.94071,0.81587,0.69697,0.73742,1.05929,0.009208,0.009208,0.009208
66,4059.36,0.91645,1.2173,1.23727,0.89946,0.88226,0.93884,0.79857,0.73759,0.75962,1.08841,0.00919562,0.00919562,0.00919562
67,4118.36,0.92164,1.23062,1.23594,0.89961,0.88908,0.93824,0.81455,0.68362,0.6675,1.06848,0.00918325,0.00918325,0.00918325
68,4177.3,0.93393,1.23002,1.24675,0.91355,0.90758,0.95143,0.81036,0.71469,0.61988,1.08162,0.00917088,0.00917088,0.00917088
69,4236.2,0.92968,1.22149,1.24926,0.85013,0.88077,0.93821,0.80307,0.73088,0.73435,1.1033,0.0091585,0.0091585,0.0091585
70,4295.12,0.9203,1.18319,1.23674,0.87932,0.86515,0.94082,0.81382,0.69644,0.65862,1.07633,0.00914613,0.00914613,0.00914613
71,4354.32,0.91859,1.16827,1.23155,0.87878,0.91001,0.94615,0.80799,0.68365,0.7104,1.05348,0.00913375,0.00913375,0.00913375
72,4413.24,0.90463,1.16825,1.22902,0.9148,0.84385,0.93351,0.80943,0.68692,0.69359,1.0652,0.00912138,0.00912138,0.00912138
73,4472.26,0.90871,1.18769,1.23412,0.89883,0.87984,0.94106,0.81351,0.69134,0.65772,1.06522,0.009109,0.009109,0.009109
74,4531.3,0.90777,1.16077,1.2307,0.90021,0.86225,0.93939,0.80425,0.69574,0.65437,1.07736,0.00909662,0.00909662,0.00909662
75,4590.27,0.90793,1.16408,1.22828,0.89876,0.8772,0.93525,0.82671,0.64315,0.6349,1.03216,0.00908425,0.00908425,0.00908425
76,4649.12,0.88987,1.16129,1.2211,0.88808,0.87816,0.93069,0.81065,0.66875,0.66854,1.05275,0.00907188,0.00907188,0.00907188
77,4707.88,0.8849,1.14055,1.21745,0.91948,0.8783,0.94768,0.8052,0.69305,0.63687,1.05672,0.0090595,0.0090595,0.0090595
78,4766.86,0.90609,1.15031,1.2248,0.89864,0.84115,0.91788,0.7838,0.70918,0.68994,1.07461,0.00904713,0.00904713,0.00904713
79,4825.62,0.88152,1.11962,1.21219,0.92185,0.87997,0.93396,0.8085,0.67259,0.63853,1.04959,0.00903475,0.00903475,0.00903475
80,4884.37,0.89342,1.12373,1.21601,0.9019,0.88259,0.9386,0.80718,0.67206,0.69731,1.05356,0.00902238,0.00902238,0.00902238
81,4943.29,0.87602,1.10279,1.21307,0.85055,0.87921,0.94055,0.82624,0.65666,0.62978,1.03476,0.00901,0.00901,0.00901
82,5002.3,0.89152,1.14009,1.21621,0.89372,0.89664,0.95462,0.82436,0.67243,0.60088,1.04891,0.00899762,0.00899762,0.00899762
83,5061.13,0.88611,1.15312,1.2116,0.91203,0.88214,0.9458,0.825,0.64885,0.60849,1.04249,0.00898525,0.00898525,0.00898525
84,5120.07,0.89674,1.16431,1.22211,0.91243,0.88563,0.94305,0.82528,0.64983,0.62294,1.02941,0.00897287,0.00897287,0.00897287
