epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.406,1.21102,4.34848,1.55449,0.07174,0.32858,0.06934,0.04547,1.07453,3.42938,1.42704,0.00332969,0.00332969,0.00332969
2,110.571,1.21063,3.96143,1.55365,0.43727,0.21271,0.13211,0.09275,1.20735,3.20075,1.54879,0.00664653,0.00664653,0.00664653
3,164.282,1.32212,3.75398,1.60142,0.23465,0.22698,0.14853,0.10874,0.97942,3.10412,1.40918,0.00994687,0.00994687,0.00994687
4,216.723,1.37661,3.66841,1.6221,0.2577,0.24078,0.18353,0.1415,0.91169,3.18229,1.29785,0.00992575,0.00992575,0.00992575
5,267.812,1.35134,3.59518,1.59658,0.10133,0.41251,0.2167,0.14715,1.14213,2.8566,1.47303,0.009901,0.009901,0.009901
6,318.422,1.33187,3.44118,1.56818,0.21909,0.40779,0.24185,0.16893,1.1747,2.55792,1.4761,0.00987625,0.00987625,0.00987625
7,369.416,1.31957,3.26997,1.53061,0.27204,0.40413,0.24937,0.17453,1.18301,2.56471,1.44939,0.0098515,0.0098515,0.0098515
8,420.729,1.2939,3.2303,1.521,0.27658,0.40158,0.28041,0.19415,1.11198,2.64116,1.4202,0.00982675,0.00982675,0.00982675
9,472.3,1.2889,3.09915,1.5098,0.16899,0.54722,0.32476,0.25076,0.9132,2.23135,1.28832,0.009802,0.009802,0.009802
10,524.488,1.27112,3.03703,1.50288,0.26367,0.52009,0.32693,0.2438,0.88451,2.23592,1.27465,0.00977725,0.00977725,0.00977725
11,576.288,1.24814,2.93038,1.48731,0.39901,0.49403,0.38874,0.29036,1.03389,2.38835,1.385,0.0097525,0.0097525,0.0097525
12,629.095,1.23496,2.83134,1.46177,0.33448,0.64629,0.47032,0.34363,1.07124,2.26973,1.33721,0.00972775,0.00972775,0.00972775
13,683.382,1.22108,2.78786,1.46126,0.27495,0.63338,0.45835,0.36021,0.84918,2.27654,1.23343,0.009703,0.009703,0.009703
14,735.817,1.24004,2.73652,1.4782,0.43939,0.63174,0.52415,0.40802,0.90534,1.99318,1.26543,0.00967825,0.00967825,0.00967825
15,788.515,1.21489,2.62203,1.45477,0.26919,0.674,0.47806,0.34742,1.07648,2.36063,1.35574,0.0096535,0.0096535,0.0096535
16,841.653,1.19701,2.56022,1.43243,0.41032,0.607,0.51097,0.39668,0.89596,2.07034,1.25317,0.00962875,0.00962875,0.00962875
17,892.948,1.204,2.50988,1.4444,0.44229,0.6338,0.5861,0.45679,0.85327,2.36496,1.23271,0.009604,0.009604,0.009604
18,943.536,1.16238,2.42892,1.4077,0.34806,0.72872,0.58915,0.47549,0.83698,1.87305,1.21401,0.00957925,0.00957925,0.00957925
19,993.526,1.16605,2.38057,1.40857,0.34524,0.7596,0.57863,0.46631,0.78331,1.89785,1.17664,0.0095545,0.0095545,0.0095545
20,1043.06,1.15863,2.41243,1.40889,0.51458,0.65753,0.6171,0.503,0.80602,1.93495,1.20392,0.00952975,0.00952975,0.00952975
21,1093.62,1.13509,2.31375,1.38001,0.49244,0.65558,0.59977,0.48743,0.79897,2.68341,1.2,0.009505,0.009505,0.009505
