epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,339.297,0.99223,4.24247,1.42355,0.03694,0.81242,0.12293,0.10104,0.71253,4.58534,1.19947,0.000109832,0.000109832,0.000109832
2,690.77,0.85636,3.77878,1.3215,0.14636,0.47664,0.30893,0.23131,0.97955,4.12024,1.45601,0.0002099,0.0002099,0.0002099
3,1049.19,0.90097,3.32384,1.33912,0.31339,0.51738,0.44116,0.35933,0.84659,3.50708,1.28863,0.00029898,0.00029898,0.00029898
4,1403.33,0.89229,2.89914,1.31477,0.5257,0.5518,0.59271,0.46588,0.90574,3.10542,1.3092,0.00028355,0.00028355,0.00028355
5,1752.04,0.84578,2.56408,1.26679,0.54561,0.6493,0.64681,0.49678,0.99148,2.78844,1.35989,0.000267066,0.000267066,0.000267066
6,2106.21,0.85133,2.32629,1.25806,0.68049,0.69115,0.75134,0.59191,0.92003,2.45686,1.29347,0.000250583,0.000250583,0.000250583
7,2471.32,0.78162,2.07615,1.21703,0.68113,0.75182,0.81168,0.66934,0.78247,2.09616,1.21945,0.000234099,0.000234099,0.000234099
8,2838.04,0.77541,1.96354,1.20912,0.77214,0.64891,0.78539,0.59865,1.0051,2.05467,1.37293,0.000217616,0.000217616,0.000217616
9,3186.63,0.76461,1.81833,1.19684,0.77604,0.72361,0.87042,0.73154,0.72574,1.90102,1.1404,0.000201132,0.000201132,0.000201132
10,3537.78,0.72494,1.70305,1.17061,0.73057,0.77559,0.87194,0.70793,0.85001,1.80403,1.21852,0.000184649,0.000184649,0.000184649
11,3885.24,0.52196,1.39477,1.06631,0.80062,0.86588,0.90879,0.74958,0.82965,1.59792,1.21406,0.000168165,0.000168165,0.000168165
12,4247.71,0.51298,1.2231,1.04678,0.85149,0.86098,0.92912,0.74782,0.90775,1.489,1.31385,0.000151682,0.000151682,0.000151682
13,4582.47,0.49839,1.11354,1.04508,0.84037,0.83315,0.91531,0.74277,0.86564,1.49566,1.24178,0.000135198,0.000135198,0.000135198
14,4916.76,0.47249,1.0308,1.02347,0.87178,0.85161,0.9287,0.79266,0.70155,1.32419,1.1154,0.000118714,0.000118714,0.000118714
15,5277.94,0.46369,0.94818,1.00463,0.87408,0.87136,0.94086,0.77767,0.82439,1.26165,1.21132,0.000102231,0.000102231,0.000102231
16,5613.26,0.45292,0.87773,0.99193,0.87241,0.89689,0.93544,0.76793,0.83,1.22573,1.19738,8.57475e-05,8.57475e-05,8.57475e-05
17,5945.83,0.45039,0.85849,0.98975,0.91627,0.86907,0.94285,0.79922,0.73702,1.12702,1.12829,6.9264e-05,6.9264e-05,6.9264e-05
18,6276.51,0.42812,0.81879,0.97584,0.92595,0.84709,0.93937,0.78755,0.75829,1.17065,1.15883,5.27805e-05,5.27805e-05,5.27805e-05
19,6627.86,0.42488,0.78379,0.98352,0.91256,0.86899,0.94526,0.78889,0.78637,1.12409,1.1706,3.6297e-05,3.6297e-05,3.6297e-05
20,6975.28,0.41528,0.76233,0.96118,0.91482,0.85658,0.94543,0.78444,0.80169,1.13366,1.1943,1.98135e-05,1.98135e-05,1.98135e-05
