epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,331.866,0.99481,4.243,1.42805,0.0346,0.82112,0.12547,0.10222,0.72332,4.60771,1.21078,0.000109832,0.000109832,0.000109832
2,664.688,0.85808,3.75518,1.31336,0.33394,0.42544,0.32756,0.24413,1.06913,4.18041,1.56069,0.000218645,0.000218645,0.000218645
3,997.371,0.90564,3.27927,1.33238,0.38991,0.54812,0.48419,0.37699,0.97883,3.54062,1.40115,0.000325261,0.000325261,0.000325261
4,1326.43,0.90682,2.88831,1.3302,0.43109,0.62601,0.56824,0.46397,0.83655,3.1429,1.23189,0.00032311,0.00032311,0.00032311
5,1657.15,0.85493,2.57931,1.27896,0.57065,0.61827,0.63993,0.50273,0.88421,2.70253,1.27741,0.000319813,0.000319813,0.000319813
6,1985.76,0.85433,2.32565,1.26906,0.60124,0.70377,0.76251,0.61115,0.87218,2.32948,1.28069,0.000316517,0.000316517,0.000316517
7,2315.68,0.80917,2.10869,1.23477,0.47012,0.72373,0.73523,0.57085,0.91129,2.20523,1.3048,0.00031322,0.00031322,0.00031322
8,2644.83,0.79149,1.9893,1.22105,0.68838,0.74319,0.81314,0.60972,1.03161,1.92927,1.43821,0.000309923,0.000309923,0.000309923
9,2976.62,0.78593,1.81674,1.21041,0.67708,0.78354,0.81838,0.66798,0.81882,1.80413,1.22141,0.000306626,0.000306626,0.000306626
10,3305.23,0.75709,1.70147,1.19383,0.84835,0.7452,0.88618,0.72589,0.79814,1.51302,1.20261,0.00030333,0.00030333,0.00030333
11,3637.78,0.75067,1.62731,1.18171,0.84947,0.75462,0.877,0.69922,0.91371,1.54069,1.2874,0.000300033,0.000300033,0.000300033
12,3968.56,0.75256,1.59357,1.18655,0.78729,0.82819,0.90394,0.72024,0.86826,1.55731,1.26193,0.000296736,0.000296736,0.000296736
13,4300,0.73586,1.5119,1.17034,0.81161,0.77056,0.88724,0.68867,0.97155,1.45157,1.30427,0.00029344,0.00029344,0.00029344
14,4627.26,0.73193,1.41564,1.16524,0.76918,0.80511,0.89883,0.73028,0.81724,1.39587,1.23457,0.000290143,0.000290143,0.000290143
